Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
Curated_gene_sets	REACTOME_HDACS_DEACETYLATE_HISTONES	59	11	2.16E-09	8.76E-07	HIST2H4A:HIST2H4B:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2AG:HIST1H4I:HIST1H2AH:HIST1H2BL:HIST1H2AI:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H2AK:HIST1H2AL:HIST1H3I:HIST1H4L:HIST1H3J:HIST1H2AM:HIST4H4:RCOR1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_HDACS_DEACETYLATE_HISTONES
Curated_gene_sets	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	60	11	2.61E-09	9.40E-07	HIST2H4A:HIST2H4B:RAD50:HIST1H4A:HIST1H4B:HIST1H2BB:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H4F:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H1B:HIST1H4L:HIST4H4:CDK2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE
Curated_gene_sets	REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX	60	11	2.61E-09	9.40E-07	RUNX3:HIST2H4A:HIST2H4B:RUVBL1:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J:HIST4H4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX
Curated_gene_sets	REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	35	9	3.07E-09	1.02E-06	HIST2H4A:HIST2H4B:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J:HIST4H4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION
Curated_gene_sets	REACTOME_RHO_GTPASES_ACTIVATE_PKNS	61	11	3.13E-09	1.02E-06	HIST2H4A:HIST2H4B:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J:KDM4C:PKN3:HIST4H4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_RHO_GTPASES_ACTIVATE_PKNS
Curated_gene_sets	REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	37	9	5.27E-09	1.50E-06	HIST2H4A:HIST2H4B:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J:HIST4H4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION
Curated_gene_sets	REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION	116	14	5.30E-09	1.50E-06	HIST2H4A:HIST2H4B:POU2F1:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J:GATA3:HIST4H4:MED1:BCL2:ZNF217	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION
Curated_gene_sets	REACTOME_CHROMOSOME_MAINTENANCE	116	14	5.30E-09	1.50E-06	HIST2H4A:HIST2H4B:RUVBL1:HIST1H4A:HIST1H4B:HIST1H2BB:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H4F:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H4L:FEN1:HIST4H4:CDK2:CASC5:OIP5:RTEL1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_CHROMOSOME_MAINTENANCE
Curated_gene_sets	REACTOME_TELOMERE_MAINTENANCE	90	12	2.13E-08	5.63E-06	HIST2H4A:HIST2H4B:RUVBL1:HIST1H4A:HIST1H4B:HIST1H2BB:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H4F:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H4L:FEN1:HIST4H4:CDK2:RTEL1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_TELOMERE_MAINTENANCE
Curated_gene_sets	REACTOME_MITOTIC_PROPHASE	109	13	2.17E-08	5.63E-06	HIST2H4A:HIST2H4B:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J:LEMD2:NEK6:PPP2R1B:HIST4H4:SETD8	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MITOTIC_PROPHASE
Curated_gene_sets	REACTOME_DNA_REPAIR	304	21	2.44E-08	6.10E-06	HIST2H4A:HIST2H4B:RUVBL1:RAD50:HIST1H4A:HIST1H4B:HIST1H2BB:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H4F:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H4L:FEN1:MUS81:HIST4H4:CDK2:RAD51B:RAD51:INO80:RMI2:POLI:RTEL1:RBX1:XRCC6	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_DNA_REPAIR
Curated_gene_sets	REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	44	9	2.72E-08	6.54E-06	HIST2H4A:HIST2H4B:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J:HIST4H4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION
Curated_gene_sets	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	693	33	2.95E-08	6.75E-06	RORC:POU2F1:TNFSF4:IL1RL1:IL18R1:IL18RAP:IL21:IL7R:IL3:CSF2:IRF1:IL13:IL4:HIST1H3A:HIST1H3B:HIST1H3C:HIST1H3D:HIST1H3E:HIST1H3F:HIST1H3G:HIST1H3H:HIST1H3I:HIST1H3J:IL6:IL33:PSMB7:IL2RA:GATA3:CFL1:PPP2R1B:STAT6:RORA:SMAD3:IL4R:IL21R:NOD2:PSMD3:CSF3:STAT5B:BCL2:TNFRSF6B:RBX1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
Curated_gene_sets	REACTOME_REPRODUCTION	112	13	3.01E-08	6.75E-06	HIST2H4A:HIST2H4B:RAD50:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J:HIST4H4:CDK2:RAD51:PSMC3IP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_REPRODUCTION
Curated_gene_sets	REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS	96	12	4.45E-08	9.64E-06	HIST2H4A:HIST2H4B:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J:PSMB7:GATA3:HIST4H4:PSMD3	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS
Curated_gene_sets	REACTOME_HOMOLOGY_DIRECTED_REPAIR	117	13	5.11E-08	1.06E-05	HIST2H4A:HIST2H4B:RAD50:HIST1H4A:HIST1H4B:HIST1H2BB:HIST1H4C:HIST1H2BC:HIST1H2BE:HIST1H4D:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H4F:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H4L:FEN1:MUS81:HIST4H4:CDK2:RAD51B:RAD51:RMI2:RTEL1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_HOMOLOGY_DIRECTED_REPAIR
Curated_gene_sets	REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP	79	11	5.24E-08	1.06E-05	HIST2H4A:HIST2H4B:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J:IL6:HIST4H4:CDK2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP
Curated_gene_sets	REACTOME_SIGNALING_BY_NOTCH	211	17	5.88E-08	1.16E-05	HIST2H4A:HIST2H4B:POGLUT1:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J:IKZF1:PSMB7:HIST4H4:HDAC7:SMAD3:FURIN:PSMD3:RBX1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_SIGNALING_BY_NOTCH
Curated_gene_sets	REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION	65	10	8.05E-08	1.52E-05	HIST2H4A:HIST2H4B:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J:HIST4H4:ITGA2B	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION
Curated_gene_sets	REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	36	8	8.20E-08	1.52E-05	HIST2H4A:HIST2H4B:HIST1H4A:HIST1H4B:HIST1H2BB:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H4F:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H4L:HIST4H4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE
Curated_gene_sets	REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR	146	14	1.02E-07	1.84E-05	HIST2H4A:HIST2H4B:RAD50:HIST1H4A:HIST1H4B:HIST1H2BB:HIST1H4C:HIST1H2BC:HIST1H2BE:HIST1H4D:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H4F:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H4L:FEN1:MUS81:HIST4H4:CDK2:RAD51B:RAD51:RMI2:RTEL1:XRCC6	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR
